,,,,,Score,,Cost,,,,,,Demographics,,,,,,Teach./Student
Idaho,239,284,222,269,1014,22,"$6,810",50,$6.72,78.0%,1.0%,16.2%,1.3%,1.3%,9.6%,5.4%,48.5%,5.9%,17.5
Illinois,237,282,222,267,1008,30,"$11,671",18,$11.58,50.8%,18.0%,23.7%,4.2%,0.3%,14.3%,8.1%,48.9%,1.2%,15.8
Indiana,248,287,227,268,1030,8,"$9,256",35,$8.99,72.4%,12.2%,8.9%,1.7%,0.2%,15.7%,4.9%,47.9%,3.3%,16.7
Iowa,243,286,224,268,1021,17,"$9,872",28,$9.67,80.6%,5.1%,8.9%,2.0%,0.4%,13.7%,4.5%,40.0%,0.5%,14.3
Kansas,241,284,221,267,1013,23,"$9,992",27,$9.86,67.3%,7.3%,17.1%,2.5%,1.1%,13.4%,8.4%,48.8%,1.2%,13.0
Kentucky,242,278,228,268,1016,21,"$9,133",37,$8.99,81.1%,10.7%,4.3%,1.3%,0.1%,14.4%,2.4%,54.0%,0.0%,16.2
Louisiana,234,268,216,255,973,48,"$10,887",22,$11.19,47.4%,45.0%,4.0%,1.4%,0.7%,11.7%,1.8%,67.1%,6.7%,14.4
Maine,242,285,224,268,1019,20,"$12,566",14,$12.33,91.7%,2.9%,1.6%,1.5%,0.8%,15.5%,2.7%,42.0%,0.0%,12.6
Maryland,239,283,223,268,1013,23,"$14,186",10,$14.00,42.4%,35.3%,12.1%,5.8%,0.3%,12.0%,6.0%,41.7%,3.4%,14.8
Massachusetts,251,297,235,274,1057,1,"$14,262",9,$13.49,67.0%,8.2%,16.0%,5.7%,0.2%,17.4%,6.8%,35.0%,4.2%,13.7
Michigan,236,278,216,264,994,39,"$10,179",26,$10.24,69.1%,18.8%,6.2%,2.7%,0.7%,13.3%,3.7%,47.9%,8.4%,18.0
Minnesota,250,294,223,270,1037,4,"$10,686",24,$10.30,73.0%,9.2%,7.3%,6.2%,1.8%,14.6%,7.2%,37.1%,7.2%,15.8
Mississippi,234,271,214,252,971,49,"$7,894",47,$8.13,46.0%,49.6%,2.5%,0.9%,0.2%,13.0%,1.2%,71.0%,0.0%,15.3
Missouri,239,281,223,267,1010,27,"$9,468",31,$9.37,74.2%,16.7%,4.8%,1.8%,0.4%,13.6%,2.7%,44.9%,2.5%,13.8
Montana,241,287,225,270,1023,15,"$10,710",23,$10.47,80.9%,1.0%,3.6%,0.8%,11.6%,11.2%,2.3%,40.2%,0.0%,14.0
Nebraska,244,286,227,269,1026,9,"$11,638",19,$11.34,70.1%,6.7%,16.4%,2.0%,1.4%,14.8%,5.8%,43.8%,0.0%,13.5
Nevada,234,275,214,259,982,44,"$8,572",45,$8.73,37.4%,9.6%,39.6%,5.6%,1.1%,11.1%,19.1%,54.0%,6.1%,20.8
New Hampshire,249,294,232,275,1050,2,"$13,380",11,$12.74,89.1%,1.9%,3.8%,2.8%,0.3%,15.3%,2.0%,26.2%,4.5%,12.7
New Jersey,245,293,229,271,1038,3,"$16,933",3,$16.31,51.1%,16.2%,22.4%,8.9%,0.1%,16.2%,3.9%,34.5%,3.4%,12.3
New Mexico,231,271,207,253,962,50,"$9,351",32,$9.72,25.9%,2.0%,59.4%,1.2%,10.1%,13.8%,15.9%,68.0%,9.7%,15.3
New York,237,280,223,263,1003,34,"$18,621",2,$18.57,48.2%,18.4%,23.3%,8.3%,0.5%,16.6%,7.6%,49.3%,3.8%,12.9
North Carolina,244,281,226,261,1012,25,"$8,306",46,$8.21,52.4%,26.3%,13.5%,2.5%,1.4%,12.4%,6.5%,52.3%,4.1%,15.5
North Dakota,245,288,225,267,1025,11,"$11,041",21,$10.77,83.2%,2.6%,2.8%,1.1%,9.0%,13.6%,2.7%,32.3%,0.0%,11.4
Ohio,244,285,225,266,1020,18,"$11,329",20,$11.11,73.7%,16.2%,3.8%,1.7%,0.1%,14.8%,2.2%,43.6%,10.2%,16.1
Oklahoma,240,275,222,263,1000,36,"$7,690",49,$7.69,53.6%,9.7%,13.1%,1.8%,16.6%,14.8%,6.7%,61.1%,1.2%,16.1
Oregon,238,283,220,268,1009,28,"$9,317",33,$9.23,65.3%,2.5%,21.0%,3.9%,1.8%,14.2%,11.2%,51.9%,8.8%,21.2
Pennsylvania,243,284,227,269,1023,15,"$13,149",12,$12.85,70.6%,15.3%,8.6%,3.2%,0.1%,16.6%,2.6%,39.8%,4.9%,14.2
Rhode Island,238,281,225,265,1009,28,"$14,811",8,$14.68,63.9%,8.1%,21.5%,2.8%,0.6%,17.3%,5.8%,43.8%,5.7%,12.5
South Carolina,237,276,218,260,991,40,"$8,935",40,$9.02,53.2%,35.6%,6.6%,1.3%,0.2%,13.7%,5.3%,56.8%,4.2%,15.5
South Dakota,240,285,220,267,1012,25,"$9,105",38,$9.00,78.4%,2.6%,3.9%,1.5%,11.6%,14.0%,3.7%,38.6%,0.0%,13.8
Tennessee,241,278,219,265,1003,34,"$8,614",44,$8.59,67.0%,23.3%,6.6%,1.6%,0.1%,12.3%,3.1%,56.1%,2.2%,15.0
Texas,244,284,218,261,1007,32,"$8,837",42,$8.78,30.5%,12.8%,50.8%,3.5%,0.4%,8.7%,14.9%,51.0%,6.6%,15.4
Utah,243,286,226,269,1024,14,"$6,575",51,$6.42,77.4%,1.3%,15.3%,1.7%,1.2%,11.9%,5.6%,47.6%,9.2%,23.0
Vermont,243,290,230,274,1037,4,"$15,576",7,$15.02,92.4%,1.9%,1.4%,1.6%,0.3%,15.4%,1.6%,38.9%,0.0%,10.7
Virginia,247,288,229,267,1031,6,"$10,413",25,$10.10,53.5%,23.7%,11.8%,6.0%,0.3%,12.8%,7.2%,38.3%,0.2%,13.8
Washington,245,287,226,267,1025,11,"$9,697",29,$9.46,60.2%,4.5%,19.6%,7.1%,1.5%,12.3%,7.8%,44.3%,0.0%,19.6
West Virginia,235,271,216,260,982,44,"$11,987",15,$12.21,91.7%,5.0%,1.1%,0.7%,0.1%,15.6%,0.6%,52.8%,0.0%,13.9
Wisconsin,243,289,223,270,1025,11,"$11,930",16,$11.64,73.7%,9.8%,9.7%,3.5%,1.2%,14.2%,5.1%,40.7%,10.5%,15.4
Wyoming,247,287,228,269,1031,6,"$15,960",6,$15.48,80.4%,1.0%,12.5%,0.7%,3.2%,14.2%,3.0%,36.8%,1.1%,11.4
Mean,240,282,222,265,1009,,"$11,189 ",,$11.09 ,60.4%,14.8%,15.0%,3.7%,3.4%,13.5%,6.4%,47.0%,5.5%,15.3
Range,20,34,28,27,103,,"$14,772 ",,$15.96 ,84.7%,75.4%,58.3%,33.5%,60.0%,8.7%,22.4%,46.5%,44.7%,12.7
Standard Devation,4.91,7.05,5.72,5.70,21.75,,"$3,125.93 ",,$3.12 ,19.5%,14.9%,13.5%,4.9%,9.2%,2.0%,4.5%,10.0%,7.2%,2.81
