,,,,,Score,,Cost,,,,,,Demographics,,,,,,Teach./Student,,Overall,,,,
North Dakota,245,292,226,269,1032,8,"$9,767",30,$9.46,84.5%,2.4%,2.5%,1.2%,9.4%,14.2%,3.3%,33.0%,0.0%,11.4,45.2%,9.7%,23.34%,"$33,671 ","$50,314 ",33.0%
Ohio,244,289,224,268,1025,15,"$10,616",23,$10.36,78.1%,17.0%,3.0%,1.7%,0.1%,14.9%,2.1%,40.3%,8.7%,15.8,34.9%,8.7%,18.44%,"$29,174 ","$38,772 ",36.5%
Oklahoma,237,279,215,260,991,39,"$7,915",49,$7.99,56.4%,11.0%,11.2%,2.2%,19.3%,14.5%,6.0%,58.7%,1.0%,15.4,31.3%,9.8%,60.57%,"$33,699 ","$50,044 ",26.0%
Oregon,237,283,216,264,1000,34,"$9,777",29,$9.78,70.0%,2.9%,20.3%,4.8%,2.0%,14.1%,11.0%,49.1%,7.7%,20.3,38.6%,10.1%,25.21%,"$34,976 ","$54,027 ",17.2%
Pennsylvania,246,286,227,268,1027,11,"$12,115",14,$11.80,73.1%,15.8%,7.9%,3.1%,0.2%,16.6%,2.6%,37.6%,4.1%,13.6,37.9%,10.7%,37.19%,"$33,815 ","$54,730 ",31.0%
Rhode Island,242,283,222,265,1012,28,"$14,491",8,$14.32,68.0%,9.2%,18.6%,3.4%,0.9%,18.1%,4.7%,41.9%,3.6%,12.8,41.4%,8.1%,15.19%,"$28,568 ","$43,011 ",36.0%
South Carolina,237,281,215,260,993,37,"$9,303",35,$9.37,53.7%,38.4%,5.8%,1.6%,0.4%,14.0%,4.8%,54.5%,3.4%,15.4,34.4%,7.6%,18.63%,"$26,111 ","$34,709 ",31.7%
South Dakota,241,291,220,269,1021,18,"$8,881",39,$8.70,81.3%,2.6%,2.8%,1.4%,12.0%,14.5%,3.2%,37.1%,0.0%,13.3,39.4%,7.6%,3.22%,"$32,369 ","$42,537 ",28.4%
Tennessee,233,274,215,259,981,44,"$8,055",46,$8.21,68.2%,24.3%,5.5%,1.8%,0.2%,12.2%,2.8%,53.1%,1.1%,14.9,31.3%,7.9%,20.17%,"$33,775 ","$41,744 ",32.9%
Texas,241,290,218,261,1010,29,"$8,703",43,$8.62,32.4%,13.3%,50.2%,3.5%,0.6%,9.2%,15.0%,50.5%,6.2%,14.6,33.3%,9.7%,20.15%,"$26,521 ","$40,007 ",30.8%
Utah,243,283,220,267,1013,27,"$6,314",51,$6.23,79.0%,1.5%,14.6%,3.4%,1.4%,11.6%,7.9%,41.9%,7.2%,22.3,40.2%,10.2%,40.51%,"$26,461 ","$46,622 ",28.5%
Vermont,247,294,227,274,1042,4,"$15,029",6,$14.42,93.5%,1.8%,1.2%,1.6%,0.2%,8.4%,1.7%,34.3%,0.0%,10.5,43.6%,9.1%,23.43%,"$33,200 ","$43,823 ",26.0%
Virginia,245,289,226,267,1027,11,"$10,972",19,$10.68,57.7%,26.2%,9.7%,6.1%,0.3%,13.2%,7.0%,35.7%,0.2%,17.6,43.4%,9.3%,63.26%,"$30,974 ","$46,326 ",22.4%
Washington,243,288,221,268,1020,19,"$9,648",33,$9.46,66.1%,5.8%,16.5%,9.1%,2.5%,12.2%,6.3%,41.4%,0.0%,19.4,42.0%,9.4%,14.47%,"$26,704 ","$38,284 ",19.1%
West Virginia,235,273,214,256,978,45,"$10,828",21,$11.07,92.4%,5.3%,1.0%,0.7%,0.1%,16.3%,0.6%,52.0%,0.0%,13.9,25.6%,11.0%,31.12%,"$25,222 ","$46,390 ",21.5%
Wisconsin,245,289,221,267,1022,17,"$11,171",16,$10.93,76.0%,10.4%,8.4%,3.7%,1.5%,14.4%,5.2%,37.1%,9.1%,14.9,38.0%,7.8%,40.01%,"$31,481 ","$43,255 ",37.0%
Wyoming,244,288,224,270,1026,14,"$14,747",7,$14.37,81.4%,1.2%,12.1%,0.9%,3.2%,14.1%,2.4%,35.2%,0.8%,12.3,36.0%,9.6%,35.83%,,,
Mean,240,283,220,265,1009,,"$10,878 ",,$10.78 ,62.7%,15.7%,13.8%,4.8%,2.5%,13.6%,6.3%,44.8%,4.8%,15.0,37.8%,9.4%,31%,"$31,507 ","$46,227 ",30.5%
Range,31,39,36,33,139,,"$11,272 ",,$12.42 ,86.8%,79.1%,58.9%,72.0%,22.9%,9.7%,28.1%,50.1%,41.6%,11.8,24.0%,5.9%,60%,"$14,387 ","$25,116 ",38.6%
Standard Devation,5.78,7.63,6.69,6.46,25.25,,"$2,674.02 ",,$2.63 ,19.6%,15.6%,13.3%,9.9%,4.7%,2.2%,4.8%,10.8%,6.8%,2.54,5.7%,1.1%,16%,"$3,972.74","$6,526.06",8.6%
