,,,,,Score,,Cost,,,,,,Demographics,,,,,,Teach./Student
Oregon,233,282,218,266,999,33,"$10,457",29,$10.47,63.4%,2.4%,22.5%,3.9%,1.4%,14.6%,x,49.0%,10.1%,19.8
Pennsylvania,242,286,225,270,1023,12,"$14,405",12,$14.08,67.5%,14.8%,10.4%,3.7%,0.2%,17.6%,x,46.7%,5.8%,14.2
Rhode Island,238,277,223,266,1004,30,"$15,797",9,$15.73,59.8%,8.2%,24.2%,3.2%,0.7%,16.5%,7.4%,46.5%,9.3%,13.4
South Carolina,234,275,213,260,982,44,"$9,831",33,$10.01,51.7%,34.4%,8.5%,1.5%,0.3%,13.3%,5.6%,60.0%,5.4%,15.2
South Dakota,242,286,222,267,1017,19,"$9,103",42,$8.95,75.4%,2.9%,5.2%,1.7%,11.3%,14.5%,x,41.5%,0.0%,13.9
Tennessee,237,279,219,262,997,37,"$8,759",44,$8.79,64.0%,22.5%,9.0%,1.9%,0.2%,12.9%,4.1%,57.3%,5.4%,15.1
Texas,241,282,215,260,998,35,"$9,081",43,$9.10,28.6%,12.6%,52.2%,4.0%,0.4%,8.7%,16.8%,58.9%,8.0%,15.3
Utah,242,287,225,269,1023,12,"$6,751",51,$6.60,75.3%,1.4%,16.6%,1.7%,1.1%,12.3%,x,36.4%,11.3%,22.9
Vermont,241,288,226,273,1028,8,"$18,769",6,$18.26,91.0%,2.0%,1.8%,2.0%,0.2%,15.8%,x,36.8%,0.0%,10.5
Virginia,248,290,228,268,1034,5,"$11,235",23,$10.87,50.5%,22.9%,14.4%,6.7%,0.3%,x,8.5%,40.8%,0.3%,14.2
Washington,242,289,223,272,1026,10,"$10,684",28,$10.41,56.2%,4.4%,22.4%,7.3%,1.3%,12.5%,x,45.4%,0.4%,18.8
West Virginia,236,273,217,259,985,42,"$11,512",22,$11.69,90.6%,4.5%,1.6%,0.7%,0.1%,16.3%,1.0%,49.4%,0.0%,14.1
Wisconsin,240,288,220,269,1017,19,"$11,538",21,$11.35,71.2%,9.5%,11.3%,3.8%,1.2%,13.9%,5.3%,39.4%,10.7%,14.9
Wyoming,248,289,227,269,1033,6,"$16,047",8,$15.53,78.1%,1.1%,14.1%,0.8%,3.6%,13.8%,3.1%,37.5%,0.0%,12.4
Mean,239,282,221,265,1008,,"$11,989 ",,$11.89 ,57.9%,14.5%,17.0%,3.9%,2.8%,13.7%,8.1%,48.9%,6.4%,15.4
Range,20,31,29,31,103,,"$13,993 ",,$14.94 ,80.7%,70.0%,59.8%,29.6%,23.0%,10.1%,20.0%,46.8%,50.4%,13.1
Standard Devation,5.25,7.01,5.77,5.69,22.29,,"$3,629.83 ",,$3.59 ,19.2%,14.3%,13.7%,4.4%,4.7%,2.1%,4.9%,10.5%,8.0%,2.91
