,,,,,Score,,Cost,,,,,,Demographics,,,,,,Teach./Student
North Dakota,245,293,226,269,1033,7,"$9,168",36,$8.88,85.3%,2.2%,2.2%,1.1%,9.2%,14.0%,3.7%,31.6%,0.0%,11.6
Ohio,244,286,225,269,1024,13,"$10,289",20,$10.05,78.4%,16.9%,2.8%,1.7%,0.1%,14.6%,2.0%,36.4%,8.6%,16.1
Oklahoma,237,276,217,259,989,38,"$7,715",48,$7.80,57.3%,10.9%,10.5%,2.1%,19.2%,--,--,56.1%,0.9%,13.9
Oregon,238,285,218,265,1006,31,"$9,615",28,$9.56,71.7%,3.1%,18.1%,5.0%,2.1%,14.1%,11.2%,46.0%,6.6%,19.1
Pennsylvania,244,288,224,271,1027,9,"$11,307",15,$11.01,73.6%,15.8%,7.5%,2.9%,0.2%,16.7%,2.6%,33.4%,3.9%,13.7
Rhode Island,239,278,223,260,1000,34,"$14,079",7,$14.08,68.6%,9.0%,18.5%,3.2%,0.7%,19.0%,--,39.8%,3.6%,12.8
South Carolina,236,280,216,257,989,38,"$9,178",35,$9.28,53.8%,38.8%,5.5%,1.6%,0.4%,14.1%,4.4%,52.5%,3.0%,14.4
South Dakota,242,291,222,270,1025,10,"$8,566",41,$8.36,81.3%,2.5%,2.7%,1.3%,12.2%,14.0%,2.8%,34.7%,0.0%,13.7
Tennessee,232,275,217,261,985,41,"$7,707",49,$7.82,68.3%,24.6%,5.2%,1.6%,0.2%,12.2%,2.8%,50.0%,0.8%,15.0
Texas,240,287,219,260,1006,31,"$8,486",43,$8.44,34.0%,14.2%,47.9%,3.6%,0.4%,9.5%,15.1%,48.8%,5.6%,14.5
Utah,240,284,219,266,1009,29,"$6,579",51,$6.52,79.4%,1.4%,14.5%,3.3%,1.4%,11.6%,7.9%,31.2%,7.0%,23.7
Vermont,248,293,229,272,1042,3,"$14,215",6,$13.64,93.7%,1.7%,1.1%,1.7%,0.2%,14.2%,1.6%,30.1%,0.0%,10.5
Virginia,243,286,227,266,1022,14,"$10,754",16,$10.52,58.2%,26.4%,9.2%,5.9%,0.3%,13.5%,7.0%,33.1%,0.2%,17.3
Washington,242,289,221,267,1019,17,"$9,088",37,$8.92,67.1%,5.7%,15.8%,8.9%,2.6%,12.1%,8.0%,38.2%,0.0%,19.1
West Virginia,233,270,215,255,973,45,"$10,080",22,$10.36,92.8%,5.4%,0.9%,0.7%,0.1%,16.5%,0.6%,50.0%,0.0%,14.0
Wisconsin,244,288,220,266,1018,20,"$10,752",17,$10.56,76.3%,10.5%,8.0%,3.7%,1.5%,14.3%,5.5%,33.5%,9.6%,14.7
Wyoming,242,286,223,268,1019,17,"$14,058",8,$13.80,83.3%,1.6%,10.4%,1.1%,3.5%,16.9%,2.6%,31.0%,0.8%,12.5
Mean,240,282,220,263,1005,,"$10,539 ",,$10.48 ,63.4%,15.9%,13.2%,4.7%,2.5%,13.6%,6.3%,42.0%,4.4%,15.0
Range,33,45,32,32,142,,"$11,024 ",,$12.68 ,87.7%,80.5%,55.2%,72.2%,23.0%,18.1%,23.6%,47.8%,34.0%,13.2
Standard Devation,6.36,8.46,6.62,6.62,27.02,,"$2,566.89 ",,$2.56 ,19.6%,15.7%,12.9%,9.9%,4.8%,2.8%,4.5%,10.5%,5.9%,2.58
